dataset,model,train_windows,val_windows,test_windows,look_back,horizon,training_time,inference_time,parameter_count,status,MAE,RMSE,MSE,R2
DD-EN-09#.xls,persistence,721,102,210,24,6,0.0,0.0,0.0,ok,2.048330545425415,2.826207053302356,7.987446308135986,0.619990348815918
DD-EN-09#.xls,arima,721,102,210,24,6,0.0,0.2273963330007973,0.0,ok,10.87744140625,11.611145295291045,134.81869506835938,-5.4141154289245605
DD-EN-09#.xls,lstm,721,102,210,24,6,7.385226207999949,0.01324541700159898,50822.0,ok,2.743788480758667,3.573718293387256,12.771462440490723,0.39238667488098145
DD-EN-09#.xls,dlinear,721,102,210,24,6,0.2589896250028687,9.55420000536833e-05,300.0,ok,2.6265406608581543,3.4171140114304435,11.676668167114258,0.4444724917411804
DD-EN-09#.xls,crossformer,721,102,210,24,6,11.004031000000396,0.008892709000065224,304780.0,ok,2.431290864944458,3.1179608219956836,9.7216796875,0.537482738494873
DD-ES-09#.xls,persistence,721,102,210,24,6,0.0,0.0,0.0,ok,2.1860711574554443,3.0104760996793716,9.062966346740723,0.5946530103683472
DD-ES-09#.xls,arima,721,102,210,24,6,0.0,0.07106245799877797,0.0,ok,11.488627433776855,12.268507075807578,150.51626586914062,-5.731936931610107
DD-ES-09#.xls,lstm,721,102,210,24,6,3.789832957998442,0.01273770799889462,50822.0,ok,3.133336067199707,3.9459922884727026,15.570855140686035,0.3035835027694702
DD-ES-09#.xls,dlinear,721,102,210,24,6,0.3092626249999739,0.0001367090007988736,300.0,ok,2.7790658473968506,3.7226940365261556,13.858450889587402,0.38017183542251587
DD-ES-09#.xls,crossformer,721,102,210,24,6,11.158725208999385,0.010202916997513967,304780.0,ok,2.783663034439087,3.4539900166643918,11.930047035217285,0.4664209485054016
DD-WN-09#.xls,persistence,721,102,210,24,6,0.0,0.0,0.0,ok,1.7558562755584717,2.433649788053646,5.922651290893555,0.5209009051322937
DD-WN-09#.xls,arima,721,102,210,24,6,0.0,0.06226366700138897,0.0,ok,9.8731689453125,10.384428221491287,107.83634948730469,-7.723170280456543
DD-WN-09#.xls,lstm,721,102,210,24,6,6.580807999998797,0.01421074999962002,50822.0,ok,2.536017417907715,3.2550542118462644,10.595377922058105,0.14291149377822876
DD-WN-09#.xls,dlinear,721,102,210,24,6,0.2677294579989393,0.00012020900248899125,300.0,ok,2.192121982574463,2.9099524100171212,8.467823028564453,0.31501513719558716
DD-WN-09#.xls,crossformer,721,102,210,24,6,11.032044749998022,0.008915250000427477,304780.0,ok,2.1271378993988037,2.7443814535115068,7.53162956237793,0.3907463550567627
DD-WS-09#.xls,persistence,721,102,210,24,6,0.0,0.0,0.0,ok,2.478358507156372,3.3201233574344107,11.023219108581543,0.5180038213729858
DD-WS-09#.xls,arima,721,102,210,24,6,0.0,0.03751466700123274,0.0,ok,12.090242385864258,12.891645911277497,166.1945343017578,-6.2669453620910645
DD-WS-09#.xls,lstm,721,102,210,24,6,5.0539854999988165,0.016489958001329796,50822.0,ok,3.486297845840454,4.349170842565542,18.915287017822266,0.17291885614395142
DD-WS-09#.xls,dlinear,721,102,210,24,6,0.396610874999169,9.729200246511027e-05,300.0,ok,2.968871831893921,3.8284405013880596,14.656956672668457,0.35911667346954346
DD-WS-09#.xls,crossformer,721,102,210,24,6,10.98426383399783,0.008442791997367749,304780.0,ok,2.912951946258545,3.606378409547329,13.005965232849121,0.43130719661712646
